date,close_raw,total_mv,total_shares,pe_ttm,pe_static
2021-10-19,261.8,64816508402.8,247580246,148.01006268,203.75870293
2021-10-20,267.24,66163344941.04,247580246,151.08559645,207.99265
2021-10-21,265.17,65650853831.82,247580246,149.91531062,206.38157088
2021-10-22,271.0,67094246666.0,247580246,153.21133302,210.9190546
2021-10-25,290.13,71830456771.98,247580246,164.02658321,225.80791628
2021-10-26,289.22,71605158748.12,247580246,163.51210973,225.0996641
2021-10-27,287.0,71055530602.0,247580246,162.25702058,223.37184011
2021-10-28,285.57,70701490850.22,247580246,161.44856226,222.25887241
2021-10-29,278.79,69022896782.34,247580246,146.56579353,216.98200455
2021-11-01,261.2,64667960255.2,247580246,137.31835887,203.29172347
2021-11-02,250.53,62026279030.38,247580246,131.70891443,194.98727214
2021-11-03,245.0,60657160270.0,247580246,128.80167658,190.68327814
2021-11-04,247.0,61152320762.0,247580246,129.85311884,192.23987633
2021-11-05,248.98,61642529649.08,247580246,130.89404668,193.78090854
2021-11-08,252.0,62390221992.0,247580246,132.48172449,196.13137181
2021-11-09,240.08,59439065459.68,247580246,126.21512863,186.8540466
2021-11-10,236.55,58565107191.3,247580246,124.35933305,184.1066508
2021-11-11,235.11,58208591637.06,247580246,123.60229462,182.9859001
2021-11-12,239.86,59384597805.56,247580246,126.09946998,186.6828208
2021-11-15,231.05,57203415838.3,247580246,121.46786684,179.82600578
2021-11-16,227.56,56339360779.76,247580246,119.6331001,177.10974194
2021-11-17,229.92,56923650160.32,247580246,120.87380196,178.9465278
2021-11-18,229.81,56896416333.26,247580246,120.81597264,178.8609149
2021-11-19,243.0,60161999778.0,247580246,127.75023433,189.12667995
2021-11-22,254.89,63105728902.94,247580246,134.00105855,198.38065619
2021-11-23,252.5,62514012115.0,247580246,132.74458505,196.52052135
2021-11-24,234.9,58156599785.4,247580246,123.49189318,182.82245729
2021-11-25,225.6,55854103497.6,247580246,118.60268668,175.58427571
2021-11-26,237.18,58721082746.28,247580246,124.69053736,184.59697923
2021-11-29,258.2,63925219517.2,247580246,135.74119549,200.95682619
2021-11-30,254.98,63128011125.08,247580246,134.04837345,198.45070311
2021-12-01,250.1,61919819524.6,247580246,131.48285434,194.65260353
2021-12-02,248.89,61620247426.94,247580246,130.84673178,193.71086162
2021-12-03,251.8,62340705942.8,247580246,132.37658026,195.97571199
2021-12-06,242.37,60006024223.02,247580246,127.41903002,188.63635153
2021-12-07,244.8,60607644220.8,247580246,128.69653236,190.52761832
2021-12-08,251.3,62216915819.8,247580246,132.1137197,195.58656244
2021-12-09,258.13,63907888899.98,247580246,135.70439501,200.90234525
2021-12-10,266.0,65856345436.0,247580246,139.84182029,207.02755913
2021-12-13,262.8,65064088648.8,247580246,138.15951268,204.53700203
2021-12-14,259.71,64299065688.66,247580246,136.53503439,202.13205782
2021-12-15,256.95,63615744209.7,247580246,135.08404407,199.98395232
2021-12-16,261.6,64766992353.6,247580246,137.52864732,203.60304311
2021-12-17,241.5,59790629409.0,247580246,126.96165263,187.95923131
2021-12-20,219.71,54395855848.66,247580246,115.50618923,171.00009404
2021-12-21,215.08,53249559309.68,247580246,113.07210041,167.39656924
2021-12-22,214.01,52984648446.46,247580246,112.5095788,166.56378921
2021-12-23,212.37,52578616843.02,247580246,111.64739615,165.28737869
2021-12-24,204.4,50605402282.4,247580246,107.45739875,159.08433491
2021-12-27,204.66,50669773146.36,247580246,107.59408624,159.28669267
2021-12-28,212.5,52610802275.0,247580246,111.71573989,165.38855757
2021-12-29,213.56,52873237335.76,247580246,112.27300429,166.21355461
2021-12-30,219.7,54393380046.2,247580246,115.50093202,170.99231105
2021-12-31,231.55,57327205961.3,247580246,121.7307274,120.98597081
2022-01-04,207.23,51306054378.58,247580246,108.94518955,108.27865571
2022-01-05,209.48,51863109932.08,247580246,110.12806209,109.45429136
2022-01-06,209.56,51882916351.76,247580246,110.17011978,109.49609174
2022-01-07,206.67,51167409440.82,247580246,108.65078571,107.98605306
2022-01-10,201.95,49998830679.7,247580246,106.16938198,105.51983073
2022-01-11,194.66,48193970686.36,247580246,102.33687495,101.71077123
2022-01-12,207.03,51256538329.38,247580246,108.84004532,108.17415477
2022-01-13,207.96,51486787958.16,247580246,109.32896597,108.66008417
2022-01-14,216.55,53613502271.3,247580246,113.84491047,113.14839982
2022-01-17,211.0,52239431906.0,247580246,110.9271582,110.24849856
2022-01-18,218.32,54051719306.72,247580246,114.77543686,114.0732332
2022-01-19,217.9,53947735603.4,247580246,114.55463399,113.85378121
2022-01-20,221.43,54821693871.78,247580246,116.41042958,115.69822292
2022-01-21,225.93,55935804978.78,247580246,118.77617466,118.04949421
2022-01-24,247.99,61397425205.54,247580246,130.37358276,129.57594861
2022-01-25,242.29,59986217803.34,247580246,127.37697233,126.59767163
2022-01-26,253.0,62637802238.0,247580246,133.00744562,132.19369732
2022-01-27,245.76,60845321256.96,247580246,129.20122464,128.41076306
2022-01-28,234.96,58171454600.16,247580246,123.52343645,122.76771195
2022-02-07,231.59,57337109171.14,247580246,121.75175625,121.006871
2022-02-08,213.0,52734592398.0,247580246,111.97860046,111.29350802
2022-02-09,217.0,53724913382.0,247580246,114.08148497,113.38352695
2022-02-10,206.8,51199594872.8,247580246,108.71912946,108.05397868
2022-02-11,202.3,50085483765.8,247580246,106.35338438,105.70270738
2022-02-14,201.05,49776008458.3,247580246,105.69623297,105.04957647
2022-02-15,219.49,54341388194.54,247580246,115.39053059,114.68456373
2022-02-16,216.56,53615978073.76,247580246,113.85016768,113.15362487
2022-02-17,235.96,58419034846.16,247580246,124.04915758,123.29021668
2022-02-18,236.47,58545300771.62,247580246,124.31727535,123.55669409
2022-02-21,231.0,57191036826.0,247580246,121.44158078,120.69859321
2022-02-22,240.6,59567807187.6,247580246,126.48850362,125.71463864
2022-02-23,245.32,60736385948.72,247580246,128.96990735,128.18086097
2022-02-24,243.52,60290741505.92,247580246,128.02360931,127.24035246
2022-02-25,242.95,60149620765.7,247580246,127.72394827,126.94252476
2022-02-28,253.0,62637802238.0,247580246,133.00744562,132.19369732
2022-03-01,258.29,63947501739.34,247580246,135.78851039,134.95774735
2022-03-02,249.5,61771271377.0,247580246,131.16742166,130.36493076
2022-03-03,241.4,59765871384.4,247580246,126.90908052,126.13264242
2022-03-04,247.4,61251352860.4,247580246,130.06340729,129.26767082
2022-03-07,251.6,62291189893.6,247580246,132.27143604,131.46219069
2022-03-08,242.19,59961459778.74,247580246,127.32440021,126.54542116
2022-03-09,240.52,59548000767.92,247580246,126.44644593,125.67283826
2022-03-10,249.5,61771271377.0,247580246,131.16742166,130.36493076
2022-03-11,235.5,58305147933.0,247580246,123.80732586,123.0498645
2022-03-14,230.98,57186085221.08,247580246,121.43106636,120.68814311
2022-03-15,240.0,59419259040.0,247580246,126.17307094,125.4011358
2022-03-16,242.9,60137241753.4,247580246,127.69766221,126.91639952
