date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2024-10-08,24.38,109758229223.02,4501978229,-38.84156002,8.08597589,-13.167302964145824
2024-10-09,21.94,98773402344.26,4501978229,-34.95421767,7.27671497,-11.849492495215724
2024-10-10,21.53,96927591270.37,4501978229,-34.30101671,7.14073261,-11.628057129534847
2024-10-11,20.63,92875810864.27,4501978229,-32.86716092,6.84223473,-11.141979497552436
2024-10-14,20.92,94181384550.68,4501978229,-33.32918112,6.93841738,-11.298604512302322
2024-10-15,20.85,93866246074.65,4501978229,-33.217659,6.91520088,-11.260798474259246
2024-10-16,20.77,93506087816.33,4501978229,-33.09020515,6.88866773,-11.217591573638588
2024-10-17,20.03,90174623926.87,4501978229,-31.91125707,6.64323614,-10.817927742897492
2024-10-18,20.43,91975415218.47,4501978229,-32.5485263,6.77590186,-11.033962246000787
2024-10-21,21.65,97467828657.85,4501978229,-34.49219748,7.18053232,-11.692867480465837
2024-10-22,22.32,100484154071.28,4501978229,-35.55962345,7.40274741,-12.054725273163855
2024-10-23,24.55,110523565521.95,4501978229,-39.11239945,8.14235882,-13.259117627964724
2024-10-24,25.15,113224752459.35,4501978229,-40.0683033,8.34135741,-13.583169382619667
2024-10-25,27.67,124569737596.43,4501978229,-44.0830995,9.17715147,-14.944186752170424
2024-10-28,28.8,129656972995.2,4501978229,-45.8833851,9.55193214,-15.554484223437232
2024-10-29,29.31,131952981891.99,4501978229,-46.69590337,9.72108094,-15.829928214893934
2024-10-30,28.88,130017131253.52,4501978229,-46.01083894,9.57846529,-15.597691124057892
2024-10-31,30.75,138435830541.75,4501978229,-20.65920471,10.19867755,-16.607652426065794
2024-11-01,29.73,133843812748.17,4501978229,-19.97392377,9.86037995,-16.056764443152392
2024-11-04,30.4,136860138161.6,4501978229,-20.42405929,10.08259504,-16.418622235850414
2024-11-05,31.12,140101710679.92,4501982991,-20.90780912,10.32140426,-16.807502119674346
2024-11-06,29.91,134654311260.81,4501982991,-20.09487696,9.92009002,-16.153997056537907
2024-11-07,29.5,132808498234.5,4501982991,-19.8194206,9.78410751,-15.932561456632172
2024-11-08,30.09,135464668199.19,4501982991,-20.21580901,9.97978966,-16.251212685764816
2024-11-11,30.23,136094945817.93,4501982991,-20.30986728,10.02622271,-16.326824841830188
2024-11-12,29.63,133393756023.33,4501982991,-19.90676042,9.82722392,-16.00277274440716
2024-11-13,29.8,134159093131.8,4501982991,-20.02097403,9.88360691,-16.094587505343686
2024-11-14,28.9,130107308439.9,4501982991,-19.41631374,9.58510871,-15.608509359209144
2024-11-15,26.55,119527648411.05,4501982991,-17.83747854,8.80569676,-14.339305310968955
2024-11-18,26.74,120383025179.34,4501982991,-17.96512905,8.86871305,-14.441921808486246
2024-11-19,27.41,123399353783.31,4501982991,-18.41526504,9.09092837,-14.80377998394196
2024-11-20,27.0,121553540757.0,4501982991,-18.13980869,8.95494586,-14.582344384036224
2024-11-21,27.15,122228838205.65,4501982991,-18.2405854,9.00469556,-14.663357408391981
2024-11-22,25.99,117006537936.09,4501982991,-17.46124547,8.61996455,-14.036856686707463
2024-11-25,25.99,117006537936.09,4501982991,-17.46124547,8.61996455,-14.036856686707463
2024-11-26,26.31,118447172493.21,4501982991,-17.6762358,8.72609724,-14.209684471999743
2024-11-27,27.01,121598560586.91,4501982991,-18.14652713,8.9582625,-14.58774525232661
2024-11-28,27.02,121643580416.82,4501982991,-18.15324558,8.96157915,-14.593146120616993
2024-11-29,27.45,123579433102.95,4501982991,-18.44213883,9.10419495,-14.825383457103495
2024-12-02,27.54,123984635256.54,4501983851,-18.50260839,9.13404652,-14.873994113049871
2024-12-03,28.0,126055547828.0,4501983851,-18.81165705,9.28661229,-15.122434101866247
2024-12-04,26.86,120923286237.86,4501983851,-18.04575387,8.90851451,-14.506734999147406
2024-12-05,27.17,122318901231.67,4501983851,-18.25402578,9.01133057,-14.674161948132355
2024-12-06,26.01,117096599964.51,4501983851,-17.47468571,8.62659949,-14.047661106769324
2024-12-09,25.74,115881064324.74,4501983851,-17.29328758,8.53705001,-13.901837635072757
2024-12-10,25.26,113720112076.26,4501983851,-16.97080203,8.37785095,-13.642595907612192
2024-12-11,25.26,113720112076.26,4501983851,-16.97080203,8.37785095,-13.642595907612192
2024-12-12,25.25,113675092237.75,4501983851,-16.96408359,8.3745343,-13.637195038290098
2024-12-13,24.07,108362751293.57,4501983851,-16.17130661,7.98316992,-12.999892458282877
2024-12-16,23.59,106201799045.09,4501983851,-15.84882106,7.82397086,-12.740650730822313
2024-12-17,23.5,105796620498.5,4501983851,-15.78835502,7.79412103,-12.692042906923458
2024-12-18,23.47,105661560982.97,4501983851,-15.76819967,7.78417109,-12.675840298957173
2024-12-19,23.13,104130886473.63,4501983851,-15.53977241,7.67140508,-12.49221074200594
2024-12-20,22.66,102014954063.66,4501983851,-15.22400531,7.51552266,-12.23836988386747
2024-12-23,22.91,103140450026.41,4501983851,-15.39196653,7.59843884,-12.373391616919848
2024-12-24,23.86,107417334684.86,4501983851,-16.03021918,7.91352033,-12.886474202518881
2024-12-25,23.74,106877096622.74,4501983851,-15.94959779,7.87372057,-12.82166377065374
2024-12-26,22.39,100799418423.89,4501983851,-15.04260719,7.42597319,-12.092546412170902
2024-12-27,22.05,99268743914.55,4501983851,-14.81417992,7.31320718,-11.90891685521967
2024-12-30,22.6,101744835032.6,4501983851,-15.18369462,7.49562278,-12.2059646679349
2024-12-31,22.11,99538884613.41,4501984831,-14.85449385,-14.14154219,-10.419182167885111
2025-01-02,22.09,99448844916.79,4501984831,-14.84105695,-14.1287502,-10.409757308393582
2025-01-03,21.29,95847257051.99,4501984831,-14.30358092,-13.6170707,-10.03276292873243
2025-01-06,21.14,95171959327.34,4501984831,-14.20280416,-13.52113079,-9.962076482545964
2025-01-07,21.12,95081919630.72,4501984831,-14.18936726,-13.50833881,-9.952651623054434
2025-01-08,21.15,95216979175.65,4501984831,-14.20952261,-13.52752679,-9.966788912291728
2025-01-09,20.9,94091482967.9,4501984831,-14.04156135,-13.36762694,-9.848978168647617
2025-01-10,20.05,90264795861.55,4501984831,-13.47049307,-12.82396747,-9.448421640257642
2025-01-13,20.18,90850053889.58,4501984831,-13.55783292,-12.90711539,-9.50968322695258
2025-01-14,20.71,93236105850.01,4501984831,-13.91391079,-13.24610306,-9.759442003478092
2025-01-15,21.54,96972753259.74,4501984831,-14.47154218,-13.77697054,-10.15057367237654
2025-01-16,21.72,97783110529.32,4501984831,-14.59247428,-13.89209843,-10.2353974078003
2025-01-17,21.72,97783110529.32,4501984831,-14.59247428,-13.89209843,-10.2353974078003
2025-01-20,21.17,95307021899.58,4501984974,-14.22295996,-13.5403192,-9.976214088665392
2025-01-21,20.19,90895076625.06,4501984974,-13.5645518,-12.9135118,-9.514395958911397
2025-01-22,19.98,89949659780.52,4501984974,-13.42346434,-12.77919592,-9.41543493110697
2025-01-23,19.8,89139302485.2,4501984974,-13.30253223,-12.66406803,-9.330611192988888
2025-01-24,20.71,93236108811.54,4501984974,-13.91391124,-13.24610348,-9.759442313474741
2025-01-27,20.46,92110612568.04,4501984974,-13.74594997,-13.08620363,-9.641631566088517
2025-02-05,20.58,92650853707.86,4501985117,-13.82657182,-13.16295598,-9.698181032884655
2025-02-06,21.08,94901846266.36,4501985117,-14.16249436,-13.48275569,-9.933802535141327
2025-02-07,22.74,102375141560.58,4501985117,-15.2777572,-14.54449072,-10.716065922633481
2025-02-10,22.12,99583910788.04,4501985117,-14.86121324,-14.14793908,-10.423895259835206
2025-02-11,21.39,96297461652.63,4501985117,-14.37076633,-13.68103151,-10.079887866540465
2025-02-12,21.77,98008215997.09,4501985117,-14.62606747,-13.92407928,-10.258960208255536
2025-02-13,21.43,96477541057.31,4501985117,-14.39764014,-13.70661548,-10.098737586720999
2025-02-14,21.47,96657620461.99,4501985117,-14.42451394,-13.73219946,-10.117587306901532
2025-02-17,21.78,98053235848.26,4501985117,-14.63278592,-13.93047528,-10.263672638300669
2025-02-18,20.9,94091488945.3,4501985117,-14.04156224,-13.36762779,-9.848978794328925
2025-02-19,21.19,95397064629.23,4501985117,-14.23639732,-13.55311162,-9.985639265637795
2025-02-20,20.49,92245675047.33,4501985117,-13.76610576,-13.10539203,-9.655769162478453
2025-02-21,20.58,92650853707.86,4501985117,-13.82657182,-13.16295598,-9.698181032884655
2025-02-24,20.8,93641290433.6,4501985117,-13.97437773,-13.30366785,-9.801854493877592
2025-02-25,21.42,96432521206.14,4501985117,-14.39092169,-13.70021949,-10.094025156675865
2025-02-26,22.07,99358811532.19,4501985117,-14.82762099,-14.11595911,-10.40033310960954
2025-02-27,21.56,97062799122.52,4501985117,-14.48498,-13.78976341,-10.159999177307734
2025-02-28,21.09,94946866117.53,4501985117,-14.16921281,-13.48915168,-9.93851496518646
2025-03-03,21.31,95937302843.27,4501985117,-14.31701873,-13.62986355,-10.042188426179397
2025-03-04,21.28,95802243289.76,4501985117,-14.29686337,-13.61067557,-10.028051136043995
2025-03-05,20.64,92920972814.88,4501985117,-13.86688252,-13.20133194,-9.726455613155457
2025-03-06,21.33,96027354191.79,4501985663,-14.33045737,-13.6426572,-10.051614505327636
2025-03-07,21.42,96432532901.46,4501985663,-14.39092343,-13.70022115,-10.094026380877544
2025-03-10,21.77,98008227883.51,4501985663,-14.62606924,-13.92408097,-10.25896145246051
2025-03-11,22.07,99358823582.41,4501985663,-14.82762279,-14.11596082,-10.400334370960195
2025-03-12,21.45,96567592471.35,4501985663,-14.41107879,-13.71940914,-10.108163672727512
2025-03-13,21.02,94631738636.26,4501985663,-14.12218537,-13.44438135,-9.905529156211296
2025-03-14,21.63,97377949890.69,4501985663,-14.53201092,-13.83453704,-10.192987423827324
2025-03-17,21.66,97513009460.58,4501985663,-14.55216627,-13.85372503,-10.207124715677292
2025-03-18,21.49,96747671897.87,4501985663,-14.43795259,-13.74499311,-10.127013395194137
2025-03-19,21.12,95081937202.56,4501985663,-14.18936988,-13.5083413,-9.952653462377857
2025-03-20,21.0,94541698923.0,4501985663,-14.10874846,-13.43158936,-9.896104294977983
2025-03-21,20.79,93596281933.77,4501985663,-13.96766098,-13.29727347,-9.797143252028205
2025-03-24,20.51,92335725948.13,4501985663,-13.77954433,-13.11818561,-9.66519519476183
2025-03-25,20.5,92290706091.5,4501985663,-13.77282588,-13.11178962,-9.660482764145174
2025-03-26,20.81,93686321647.03,4501985663,-13.98109788,-13.31006546,-9.806568113261516
2025-03-27,20.32,91480348672.16,4501985663,-13.65189375,-12.99666171,-9.575659013045364
2025-03-28,19.98,89949673546.74,4501985663,-13.42346639,-12.77919788,-9.415436372079053
2025-03-31,19.13,86122986268.83,4501985691,-12.85239808,-12.23553839,-9.157061064233222
2025-04-01,19.18,86348085553.38,4501985691,-12.88599034,-12.26751836,-9.180994835964098
2025-04-02,18.89,85042509702.99,4501985691,-12.69115524,-12.08203451,-9.042178959925016
2025-04-03,18.62,83826973566.42,4501985691,-12.50975705,-11.90934264,-8.912936592578284
2025-04-07,16.76,75453280181.16,4501985691,-11.26012503,-10.71968758,-8.022600284189691
2025-04-08,17.01,76578776603.91,4501985691,-11.42808633,-10.87958745,-8.142269142844071
2025-04-09,17.2,77434153885.2,4501985691,-11.55573691,-11.00111136,-8.233217475421402
2025-04-10,17.47,78649690510.93,4501985719,-11.73713518,-11.17380329,-8.362459894778265
2025-04-11,17.31,77929372795.89,4501985719,-11.62963995,-11.07146737,-8.285871824763124
2025-04-14,17.4,78334551510.6,4501985719,-11.69010601,-11.12903132,-8.328952614146642
2025-04-15,17.25,77659253652.75,4501985719,-11.58932924,-11.0330914,-8.257151298507447
2025-04-16,17.45,78559650796.55,4501985719,-11.72369827,-11.1610113,-8.352886386026373
2025-04-17,17.27,77749293367.13,4501985719,-11.60276614,-11.04588339,-8.266724807259338
2025-04-18,16.93,76218618222.67,4501985719,-11.37433878,-10.82841956,-8.103975158477162
2025-04-21,17.01,76578777080.19,4501985719,-11.4280864,-10.87958752,-8.142269193484735
2025-04-22,16.91,76128578508.29,4501985719,-11.36090188,-10.81562757,-8.09440164972527
2025-04-23,17.01,76578777080.19,4501985719,-11.4280864,-10.87958752,-8.142269193484735
2025-04-24,16.8,75633360079.2,4501985719,-11.28699891,-10.74527162,-8.04174735158986
2025-04-25,16.66,75003082078.54,4501985719,-11.19294059,-10.65572769,-7.974732790326611
2025-04-28,16.6,74732962935.4,4501985719,-11.15262988,-10.61735172,-7.946012264070933
2025-04-29,16.31,73427387076.89,4501985719,-10.95779478,-10.43186787,-7.8071963871684895
2025-04-30,16.31,73427387076.89,4501985719,-8.30178542,-10.43186787,-7.8071963871684895
2025-05-06,16.63,74868022506.97,4501985719,-8.46466533,-10.63653971,-7.960372527198773
2025-05-07,16.7,75183161507.3,4501985719,-8.50029531,-10.68131167,-7.993879807830397
2025-05-08,16.9,76083558651.1,4501985719,-8.60209526,-10.80923157,-8.089614895349325
2025-05-09,16.5,74282764363.5,4501985719,-8.39849537,-10.55339177,-7.89814472031147
2025-05-12,17.06,76803876366.14,4501985719,-8.68353521,-10.91156749,-8.166202965364466
2025-05-13,18.35,82611437943.65,4501985719,-9.34014485,-11.73665085,-8.783694279861544
