date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2022-06-29,204.9,76093788608.1,371370369,142.99619715,160.59182953,62.39795476044513
2022-06-30,213.0,79101888597.0,371370369,148.64904828,166.94026203,61.38013029560645
2022-07-01,213.0,79101888597.0,371370369,148.64904828,166.94026203,61.38013029560645
2022-07-04,225.46,83729163394.74,371370369,157.34466867,176.70587548,64.97072383308652
2022-07-05,217.79,80880752664.51,371370369,151.99190716,170.69445853,62.760462803193086
2022-07-06,216.74,80490813777.06,371370369,151.25913017,169.87151358,62.45788469610207
2022-07-07,235.52,87465149306.88,371370369,164.3653702,184.59047189,67.86971026864428
2022-07-08,215.82,80149153037.58,371370369,150.61707794,169.15045705,62.19276864036519
2022-07-11,217.95,80940171923.55,371370369,152.10356842,170.81985967,62.80656994332125
2022-07-12,212.33,78853070449.77,371370369,148.18146677,166.41514477,61.1870566463198
2022-07-13,216.49,80397971184.81,371370369,151.08465945,169.6755743,62.38584228965183
2022-07-14,223.0,82815592287.0,371370369,155.62787684,174.77783302,64.26182655361615
2022-07-15,224.57,83398643766.33,371370369,156.72355293,176.00833166,64.71425286612366
2022-07-18,250.72,93109978915.68,371370369,174.97318961,196.50357979,72.249888580819
2022-07-19,233.0,86529295977.0,371370369,162.6067054,182.61540401,67.14352281162583
2022-07-20,232.8,86455021903.2,371370369,162.46712883,182.45865259,67.08588888646564
2022-07-21,233.38,86670416717.22,371370369,162.87190089,182.9132317,67.2530272694302
2022-07-22,236.19,87713967454.11,371370369,164.83295171,185.11558915,68.06278391793093
2022-07-25,233.0,86529295977.0,371370369,162.6067054,182.61540401,67.14352281162583
2022-07-26,235.0,87272036715.0,371370369,164.00247111,184.1829182,67.71986206322778
2022-07-27,242.4,90020177445.6,371370369,169.16680425,189.98272073,69.85231729415494
2022-07-28,236.05,87661975602.45,371370369,164.73524811,185.00586316,68.02244017031879
2022-07-29,228.8,84969540427.2,371370369,159.67559741,179.32362419,65.93321038326177
2022-08-01,250.15,92898297805.35,371370369,174.57539638,196.05683825,72.08563189411247
2022-08-02,252.5,93771018172.5,371370369,176.21542109,197.89866743,72.76283051474473
2022-08-03,241.0,89500258929.0,371370369,168.18976825,188.88546079,69.44887981803359
2022-08-04,238.2,88460421895.8,371370369,166.23569625,186.69094092,68.64200486579088
2022-08-05,237.39,88152408297.36,371340024,165.65687406,186.04089486,68.40299774294725
2022-08-08,246.45,91516748914.8,371340024,171.97917609,193.14115396,71.01360122056258
2022-08-09,248.9,92426531973.6,371340024,173.68884938,195.06120195,71.7195591146197
2022-08-10,253.0,93949026072.0,371340024,176.54993529,198.27434348,72.90095803936836
2022-08-11,250.0,92835006000.0,371340024,174.45645779,195.92326431,72.03651980174739
2022-08-12,244.53,90803776068.72,371340024,170.6393505,191.63646329,70.46036074848516
2022-08-15,256.5,95248716156.0,371340024,178.9923257,201.01726918,73.90946931659282
2022-08-16,256.6,95386258764.8,371731328,179.25079712,201.30754543,74.01619727718999
2022-08-17,262.17,97456802261.76,371731328,183.14178286,205.67731561,75.62286219860053
2022-08-18,282.98,105192531197.44,371731328,197.67884088,222.00315357,81.62550080085433
2022-08-19,283.98,105564262525.44,371731328,198.37740205,222.78767245,81.9139505174451
2022-08-22,275.89,102556956081.92,371731328,192.72604216,216.44091469,79.58039231022582
2022-08-23,284.44,105735258936.32,371731328,198.69874019,223.14855114,82.04663738707686
2022-08-24,282.99,105196248510.72,371731328,197.68582649,222.01099876,81.62838529802023
2022-08-25,265.0,98508801920.0,371731328,185.11871098,207.89750405,76.4391748965524
2022-08-26,261.44,97185438392.32,371731328,182.6318332,205.10461682,75.41229390548928
2022-08-29,267.25,99345197408.0,371731328,186.69047362,209.66267154,77.08818675888162
2022-08-30,256.99,95531233982.72,371731328,150.7057275,201.61350779,74.12869266666038
2022-08-31,229.75,85405272608.0,371731328,134.73147162,180.24321342,66.27132238672797
2022-09-01,232.46,86412664506.88,371731328,136.32068724,182.36925959,67.05302111868895
2022-09-02,228.77,85040975906.56,371731328,134.15677372,179.47438491,65.98864166446903
2022-09-05,239.52,89037087682.56,371731328,140.46085782,187.9079629,69.08947611781973
2022-09-06,253.22,94129806876.16,371731328,148.49489987,198.6558716,73.0412372351132
2022-09-07,261.01,97025593921.28,371731328,153.06316173,204.7672737,75.28826052735525
2022-09-08,263.01,97769056577.28,371731328,154.23601459,206.33631147,75.86515996053677
2022-09-09,257.98,95899247997.44,371731328,151.28628966,202.39018149,74.41425788608524
2022-09-13,255.3,94903008038.4,371731328,149.71466684,200.28767088,73.64121264562199
2022-09-14,252.35,93806400620.8,371731328,147.98470888,197.97334018,72.79028598167923
2022-09-15,222.03,82535506755.84,371731328,130.20425961,174.18672764,64.04449057464727
2022-09-16,225.71,83903478042.88,371731328,132.36230886,177.07375713,65.1059855317013
2022-09-19,223.29,83997533641.5,376181350,132.51068669,177.27225639,65.1789691860833
2022-09-20,235.01,88406379063.5,376181350,139.4658806,186.57688644,68.60006963330841
2022-09-21,234.27,88128004864.5,376181350,139.02673013,185.98939273,68.38406158459283
2022-09-22,237.96,89516114046.0,376181350,141.21654801,188.91892216,69.46118280048537
2022-09-23,231.9,87236455065.0,376181350,137.62026174,184.10782505,67.6922520231659
2022-09-26,248.83,93605205320.5,376181350,147.66731232,197.54872837,72.6341658944561
2022-09-27,237.16,89456914454.6,377200685,141.12315743,188.79398462,69.4152461142946
2022-09-28,227.77,85915000022.45,377200685,135.5355944,181.31896558,66.66685194574498
2022-09-29,229.53,86578873228.05,377200685,136.58289056,182.72003411,67.18199291876387
2022-09-30,220.95,83342491350.75,377200685,131.47732178,175.88982502,75.22770348976118
2022-10-10,215.1,81135867343.5,377200685,127.99625216,171.23286428,73.23593129960457
2022-10-11,199.9,75402416931.5,377200685,118.9514217,159.13272696,68.06072834398398
2022-10-12,204.61,77179032157.85,377200685,121.75412903,162.88217741,69.66436031246906
2022-10-13,205.42,77484564712.7,377200685,122.23612329,163.52698736,69.94014415418305
2022-10-14,215.18,81166043398.3,377200685,128.04385653,171.29654921,73.26316920989733
2022-10-17,211.99,79962773213.15,377200685,126.14563224,168.7571125,72.1770575369743
2022-10-18,210.99,79585572528.15,377200685,125.55057761,167.96105083,71.83658365831506
2022-10-19,206.42,77861765397.7,377200685,122.83117792,164.32304902,70.28061803284228
2022-10-20,201.37,75956901938.45,377200685,119.82615201,160.30293761,68.56122494561308
2022-10-21,204.45,77118680048.25,377200685,121.65892029,162.75480754,69.60988449188358
2022-10-24,195.5,73742733917.5,377200685,116.3331813,155.63005563,66.56264327788328
2022-10-25,201.6,76043658096.0,377200685,119.96301458,160.48603179,68.63953393770471
